""	"logFC"	"P.Value"	"adj.P.Val"
"KCNK1"	-4.925171716038	3.70706187228962e-05	0.00141394409291739
"PKIA"	-1.53401108211018	3.71023647633201e-05	0.00141394409291739
"TNXB"	-3.29962452865026	3.73942609510543e-05	0.00142036484912767
"P2RX6"	1.20271237276046	3.78297526819432e-05	0.00143217968294896
"MXRA8"	-3.16540323082485	3.82911280531041e-05	0.00143731054671475
"HIPK2"	1.15583178833325	3.82973499869614e-05	0.00143731054671475
"CDK15"	2.19795970290336	3.8339937252709e-05	0.00143731054671475
"SCARB2"	1.19679653674457	3.85495901100004e-05	0.00144047802784414
"LGALS8"	-1.46259614618958	3.91247622599349e-05	0.00145668553692777
"TCTN1"	1.28761266116596	3.93089410242492e-05	0.00145668553692777
"MGLL"	-1.42220295262485	3.93630377951636e-05	0.00145668553692777
"GNG11"	1.69087201210456	3.955617615484e-05	0.00145848166408885
"RNF125"	1.34828961635199	3.96650239690511e-05	0.00145848166408885
"PSG11"	-1.58270948838773	4.03198235963909e-05	0.00147489083083173
"RTN2"	-1.11457131990835	4.03675915989223e-05	0.00147489083083173
"HHLA2"	-4.59887915500292	4.05400443094657e-05	0.00147650433530899
"FKBP9L"	-5.60396998575772	4.15860716288397e-05	0.00150705744939209
"GEM"	-1.08285471306476	4.1640826214848e-05	0.00150705744939209
"C11orf9"	-1.11771730795235	4.2787263579858e-05	0.00154369472269776
"MC1R"	-1.45471137973311	4.3162215916862e-05	0.00155235607183489
"TBC1D30"	-2.59356060069365	4.3646691796598e-05	0.00155856680232019
"MAP2"	3.738322917318	4.38505591833272e-05	0.00155856680232019
"CEP290"	1.18838953331564	4.38662795279751e-05	0.00155856680232019
"L1CAM"	4.15956267496575	4.38765873622158e-05	0.00155856680232019
"C5orf63"	1.12958406323884	4.43123823860517e-05	0.0015661352017488
"MYO5C"	-1.72995267834198	4.4465282316391e-05	0.0015661352017488
"TRIB1"	-1.04940501969557	4.44978895622433e-05	0.0015661352017488
"PAX8"	1.11502650174437	4.48325756657645e-05	0.00157310400407709
"RNF144B"	-1.12427646371607	4.53659494778402e-05	0.00158340252023091
"AMPH"	-2.67445764822125	4.54474159327075e-05	0.00158340252023091
"PRSS12"	1.23031230605074	4.56460047358116e-05	0.00158340252023091
"IRF7"	-1.16208679864598	4.57294585645395e-05	0.00158340252023091
"LPL"	1.51260604506788	4.58139750835774e-05	0.00158340252023091
"PLA2R1"	1.4407707771922	4.60541259635961e-05	0.00158693693327853
"PABPC4L"	1.13405128316849	4.66171858898881e-05	0.00160154385793051
"ZNF699"	-1.26787703226345	4.74491963832569e-05	0.00162527619397293
"C1orf198"	-1.24790354764842	4.78116402200201e-05	0.00163087722030051
"LOC646576"	-1.12955301260387	4.79691502804382e-05	0.00163087722030051
"ALS2CR11"	1.17143676447664	4.80378293233013e-05	0.00163087722030051
"ANKRD1"	-2.1846749065062	4.82509096486212e-05	0.00163329329160583
"GSTP1"	1.20600021692292	4.87293531957672e-05	0.0016446513956894
"FAT4"	1.91612088992338	4.93384880238427e-05	0.00165562342474388
"TSTD1"	-1.89698819238296	4.93421526359503e-05	0.00165562342474388
"ATP8A2"	-2.66764386401395	4.95858229503902e-05	0.00165760156757833
"SP140"	-1.94857670406054	4.981033079328e-05	0.00165760156757833
"DDX58"	-1.16906024835067	4.98331864090801e-05	0.00165760156757833
"C1orf106"	-3.56697029177283	5.04719681247766e-05	0.00167401118486471
"UNG"	1.00673317747662	5.12353396278115e-05	0.0016922311190753
"KREMEN1"	1.07137416323507	5.13153758412789e-05	0.0016922311190753
"GPR137B"	-1.01017756408748	5.2044604953859e-05	0.00171096106825237
"SH3YL1"	-1.5212679794648	5.2275977546367e-05	0.00171096106825237
"SAMD5"	-3.70094474586476	5.23293332196397e-05	0.00171096106825237
"TACC2"	-1.10337278641855	5.28748679275495e-05	0.00172390043903163
"SDCBP"	-1.23964727865026	5.30939471082902e-05	0.00172615321262518
"CYP4V2"	1.15592530891723	5.33345886410203e-05	0.00172711438776006
"TANC1"	1.03060219403146	5.34236442820906e-05	0.00172711438776006
"MANBA"	1.1908075102041	5.36018975527443e-05	0.00172802307824799
"INVS"	1.07014110917602	5.41714856927984e-05	0.00174150734312407
"APBA2"	-1.1744174006799	5.45533643485077e-05	0.00174889880302779
"ADAM22"	1.68294336322153	5.59006988071759e-05	0.00178303565859532
"ARHGEF4"	0.985676454414835	5.62638160574352e-05	0.00178303565859532
"BMPR2"	1.26603783210014	5.63908238997326e-05	0.00178303565859532
"S1PR3"	-1.53311193732203	5.63978910757421e-05	0.00178303565859532
"ABI3BP"	1.45942607254389	5.65194101282468e-05	0.00178303565859532
"GNG2"	-2.98552344039083	5.66229740754047e-05	0.00178303565859532
"TMEM45A"	-1.55162696838529	5.67969036838282e-05	0.00178303565859532
"KCNMB4"	2.15821085414157	5.69010096035743e-05	0.00178303565859532
"HIST1H2AC"	-2.18478873915424	5.70291816957055e-05	0.00178303565859532
"EXOSC9"	0.989114056515222	5.71674479122141e-05	0.00178303565859532
"FAM171A1"	1.17269557207371	5.75242754785311e-05	0.00178732389901881
"MPP1"	0.99649819982769	5.7615532760099e-05	0.00178732389901881
"SOCS2"	-1.37998779677544	5.82696409723372e-05	0.00180275617728664
"CYBRD1"	1.19807018036663	5.85102067429232e-05	0.00180534576247802
"NMNAT2"	-2.44486171230407	5.87489019825916e-05	0.00180786393828248
"HDDC3"	-1.22177547448504	5.90322843909217e-05	0.00181174016281365
"ANGPT1"	3.08934892666908	5.92986512478865e-05	0.00181507493939342
"ASB9"	1.23316113158836	5.96348067922551e-05	0.00182052252353333
"PMEPA1"	0.986976483770976	6.03867565055323e-05	0.00183860100693696
"ATP10A"	-10.8672344565331	6.06163624604445e-05	0.00184072220463656
